Handle,Title,Body HTML,Vendor,Type,Tags,Tags Command,Status,Published,Custom Collections,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Variant Grams,Variant Weight Unit,Image Src,Image Position,Image Alt Text
ventura-spirits-angeleno-amaro,Ventura Spirits - Angeleno Amaro,"<p>A California amaro built on local citrus and botanicals. Bittersweet, orange-forward and made to drink long over ice.</p><ul><li>Amaro</li><li>750 ml</li></ul>",Ventura Spirits,Craft Spirits,"portal:ventura-spirits, spirits",MERGE,active,FALSE,portal-ventura-spirits,Size,750 ml,VS-ANGELENO-750,35.00,shopify,deny,manual,TRUE,TRUE,1315,g,https://cdn.shopify.com/s/files/1/0284/4960/3670/files/Angeleno-Amaro-70-1000px.jpg?v=1783677000,1,Angeleno Amaro
ventura-spirits-wilder-gin,Ventura Spirits - Wilder Gin,"<p>Distilled with wild-harvested California botanicals, including sage and bay foraged from the hills above Ventura.</p><ul><li>Gin</li><li>750 ml</li></ul>",Ventura Spirits,Craft Spirits,"portal:ventura-spirits, spirits",MERGE,active,FALSE,portal-ventura-spirits,Size,750 ml,VS-WILDER-750,35.00,shopify,deny,manual,TRUE,TRUE,1406,g,https://cdn.shopify.com/s/files/1/0284/4960/3670/files/Wilder-Front-1000px.jpg?v=1755272824,1,Wilder Gin
ventura-spirits-limoncello,Ventura Spirits - Limoncello,"<p>Made from whole California lemons rather than concentrate. Bright, sharp and best served very cold.</p><ul><li>Liqueur</li><li>750 ml</li></ul>",Ventura Spirits,Craft Spirits,"portal:ventura-spirits, spirits",MERGE,active,FALSE,portal-ventura-spirits,Size,750 ml,VS-LIMONCELLO-750,30.00,shopify,deny,manual,TRUE,TRUE,1451,g,https://cdn.shopify.com/s/files/1/0284/4960/3670/files/Limoncello-Front-1000px.jpg?v=1755273000,1,Limoncello
ventura-spirits-opuntia,Ventura Spirits - Opuntia Prickly Pear Brandy,"<p>Distilled from wild prickly pear fruit hand-harvested across the Central Coast. Dry, floral and unlike anything else on the shelf.</p><ul><li>Brandy</li><li>750 ml</li></ul>",Ventura Spirits,Craft Spirits,"portal:ventura-spirits, spirits",MERGE,active,FALSE,portal-ventura-spirits,Size,750 ml,VS-OPUNTIA-750,45.00,shopify,deny,manual,TRUE,TRUE,1406,g,https://cdn.shopify.com/s/files/1/0284/4960/3670/files/Opuntia-Front-1000px.jpg?v=1755273079,1,Opuntia Prickly Pear Brandy
ventura-spirits-strawberry-thief-brandy,Ventura Spirits - Strawberry Thief Brandy,"<p>A five-year-old strawberry brandy, barrel-aged and made from California fruit. Small, slow and worth the wait.</p><ul><li>Brandy</li><li>750 ml</li></ul>",Ventura Spirits,Craft Spirits,"portal:ventura-spirits, spirits, WEIGHT-CHECK",MERGE,active,FALSE,portal-ventura-spirits,Size,750 ml,VS-STRAWTHIEF-BRANDY-750,75.00,shopify,deny,manual,TRUE,TRUE,750,g,https://cdn.shopify.com/s/files/1/0284/4960/3670/files/ST-Brandy-70-1000px.jpg?v=1783677012,1,Strawberry Thief Brandy
ventura-spirits-strawberry-thief-liqueur,Ventura Spirits - Strawberry Thief Liqueur,"<p>The brandy's softer sibling — strawberry-forward, lower proof and built for spritzes and long drinks.</p><ul><li>Liqueur</li><li>20.5% ABV</li><li>750 ml</li></ul>",Ventura Spirits,Craft Spirits,"portal:ventura-spirits, spirits, WEIGHT-CHECK",MERGE,active,FALSE,portal-ventura-spirits,Size,750 ml,VS-STRAWTHIEF-LIQ-750,35.00,shopify,deny,manual,TRUE,TRUE,0,g,https://cdn.shopify.com/s/files/1/0284/4960/3670/files/Strawberry-Thief-Liqueur-70-1000px.jpg?v=1783677024,1,Strawberry Thief Liqueur
ventura-spirits-limoncello-spritz,Ventura Spirits - Limoncello Spritz (4 Pack),<p>Their limoncello cut with sparkling California white wine. Lemon-bright and ready to go.</p><ul><li>Canned Cocktail</li><li>8% ABV</li><li>4 x 355 ml</li></ul>,Ventura Spirits,Craft Spirits,"portal:ventura-spirits, canned-cocktail",MERGE,active,FALSE,portal-ventura-spirits,Size,4 x 355 ml,VS-LIMSPRITZ-4PK,15.00,shopify,deny,manual,TRUE,TRUE,1451,g,https://cdn.shopify.com/s/files/1/0284/4960/3670/files/Cocktail-Can-Limoncello-Spritz-1000px.jpg?v=1755273784,1,Limoncello Spritz (4 Pack)
ventura-spirits-prickly-paloma,Ventura Spirits - Prickly Paloma (4 Pack),"<p>Prickly pear brandy with grapefruit, lime and soda. Currently sold out on the brand's own store.</p><ul><li>Canned Cocktail</li><li>6.5% ABV</li><li>4 x 355 ml</li></ul>",Ventura Spirits,Craft Spirits,"portal:ventura-spirits, canned-cocktail",MERGE,active,FALSE,portal-ventura-spirits,Size,4 x 355 ml,VS-PALOMA-4PK,20.00,shopify,deny,manual,TRUE,TRUE,1451,g,https://cdn.shopify.com/s/files/1/0284/4960/3670/files/Prickly-Paloma-1000px.jpg?v=1755273695,1,Prickly Paloma (4 Pack)
ventura-spirits-pixie-collins,Ventura Spirits - Pixie Collins (4 Pack),<p>Ojai pixie tangerine liqueur with lemon juice and soda — a Tom Collins with a Central Coast accent.</p><ul><li>Canned Cocktail</li><li>7.5% ABV</li><li>4 x 355 ml</li></ul>,Ventura Spirits,Craft Spirits,"portal:ventura-spirits, canned-cocktail",MERGE,active,FALSE,portal-ventura-spirits,Size,4 x 355 ml,VS-PIXIECOLLINS-4PK,20.00,shopify,deny,manual,TRUE,TRUE,1451,g,https://cdn.shopify.com/s/files/1/0284/4960/3670/files/Cocktail-Can-Mockup.jpg?v=1755273590,1,Pixie Collins (4 Pack)
ventura-spirits-angeleno-spritz,Ventura Spirits - Angeleno Spritz (6 Pack),"<p>Angeleno Amaro, sparkling wine and soda in a slim can. The house aperitivo, pre-mixed.</p><ul><li>Canned Cocktail</li><li>6 x 200 ml</li></ul>",Ventura Spirits,Craft Spirits,"portal:ventura-spirits, canned-cocktail",MERGE,active,FALSE,portal-ventura-spirits,Size,6 x 200 ml,VS-ANGSPRITZ-6PK,20.00,shopify,deny,manual,TRUE,TRUE,1361,g,https://cdn.shopify.com/s/files/1/0284/4960/3670/files/Angeleno-Spritz-1000px.jpg?v=1755273436,1,Angeleno Spritz (6 Pack)
ventura-spirits-ojai-pixie-cello,Ventura Spirits - Ojai Pixie-Cello,"<p>Ojai pixie tangerines, peel and all, turned into a bright citrus liqueur. All pixie, no peeling.</p><ul><li>Liqueur</li><li>30% ABV</li><li>750 ml</li></ul>",Ventura Spirits,Craft Spirits,"portal:ventura-spirits, special-release, WEIGHT-CHECK",MERGE,active,FALSE,portal-ventura-spirits,Size,750 ml,VS-PIXIECELLO-750,35.00,shopify,deny,manual,TRUE,TRUE,816,g,https://cdn.shopify.com/s/files/1/0284/4960/3670/files/Pixiecello-Front-OLD-1000px.jpg?v=1783972548,1,Ojai Pixie-Cello
ventura-spirits-reppo-agave,Ventura Spirits - 'Reppo' California Agave Spirit,"<p>California-grown agave, roasted and distilled on site. A small, irregular release.</p><ul><li>Agave Spirit</li><li>42.5% ABV</li><li>750 ml</li></ul>",Ventura Spirits,Craft Spirits,"portal:ventura-spirits, special-release, WEIGHT-CHECK",MERGE,active,FALSE,portal-ventura-spirits,Size,750 ml,VS-REPPO-750,75.00,shopify,deny,manual,TRUE,TRUE,0,g,https://cdn.shopify.com/s/files/1/0284/4960/3670/files/Reppo-Front-1000px.jpg?v=1773506683,1,'Reppo' California Agave Spirit
ventura-spirits-agave-liqueur,Ventura Spirits - Agave Liqueur,"<p>A sweeter, lower-proof take on their agave spirit, bottled at 375 ml.</p><ul><li>Liqueur</li><li>25% ABV</li><li>375 ml</li></ul>",Ventura Spirits,Craft Spirits,"portal:ventura-spirits, special-release",MERGE,active,FALSE,portal-ventura-spirits,Size,375 ml,VS-AGAVELIQ-375,35.00,shopify,deny,manual,TRUE,TRUE,907,g,https://cdn.shopify.com/s/files/1/0284/4960/3670/files/Agave_Liqueur-3-800px.heic?v=1763925289,1,Agave Liqueur
ventura-spirits-apricot-umeshu,Ventura Spirits - Apricot Umeshu,"<p>Green apricots steeped in the Japanese umeshu tradition, using California stone fruit.</p><ul><li>Liqueur</li><li>25% ABV</li><li>375 ml</li></ul>",Ventura Spirits,Craft Spirits,"portal:ventura-spirits, special-release",MERGE,active,FALSE,portal-ventura-spirits,Size,375 ml,VS-UMESHU-375,30.00,shopify,deny,manual,TRUE,TRUE,907,g,https://cdn.shopify.com/s/files/1/0284/4960/3670/files/Umeshu-Bottle.jpg?v=1762766608,1,Apricot Umeshu
ventura-spirits-grapefruit-cordial,Ventura Spirits - Grapefruit Cordial,<p>A tart grapefruit cordial built for highballs and palomas.</p><ul><li>Cordial</li><li>750 ml</li></ul>,Ventura Spirits,Craft Spirits,"portal:ventura-spirits, special-release",MERGE,active,FALSE,portal-ventura-spirits,Size,750 ml,VS-GRAPEFRUIT-750,30.00,shopify,deny,manual,TRUE,TRUE,1451,g,https://cdn.shopify.com/s/files/1/0284/4960/3670/files/Grapefruit-Front-1000px_3377b5d5-5095-4de7-885c-3c27f5a7cff5.jpg?v=1755457392,1,Grapefruit Cordial
ventura-spirits-pineau-bleu,Ventura Spirits - Pineau Bleu Blueberry Liqueur,"<p>Blueberries and brandy in the pineau style — deep, jammy and low proof.</p><ul><li>Liqueur</li><li>20% ABV</li><li>375 ml</li></ul>",Ventura Spirits,Craft Spirits,"portal:ventura-spirits, special-release",MERGE,active,FALSE,portal-ventura-spirits,Size,375 ml,VS-PINEAUBLEU-375,35.00,shopify,deny,manual,TRUE,TRUE,680,g,https://cdn.shopify.com/s/files/1/0284/4960/3670/files/Pineau-Bleu-1000px_fd130dd8-d209-4f1f-a702-7cf03c70771a.jpg?v=1755457706,1,Pineau Bleu Blueberry Liqueur
